,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
89,"203 E State Highway 260, Payson 85541",25,Payson,"American, Italian, Pizza",34.2405000000,Payson,-111.3213000000,2,4.2,5BA829,Very Good,17282260,Cardo's Pizza & Italian Restaurant,,https://www.zomato.com/payson-az/cardos-pizza-italian-restaurant-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
90,"638 East Warner Road, Gilbert 85296",40,Gilbert,"Mexican, Southwestern",33.3358640000,Gilbert,-111.7764044000,3,3.5,9ACD32,Good,17033813,La Ristra New Mexican Kitchen,"11 AM to 9 PM (Mon-Thu),11 AM to 12 Midnight (Fri-Sat),10 AM to 9 PM (Sun)",https://www.zomato.com/gilbert-az/la-ristra-new-mexican-kitchen-1-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
91,1385 East Warner Road Ste 103 85296,10,Gilbert,"Desserts, Ice Cream",33.3352300000,Gilbert,-111.7596400000,1,3.6,9ACD32,Good,17030847,Udder Delights,"12 Noon to 9 PM (Mon-Sat), 12 Noon to 7 PM (Sun)",https://www.zomato.com/gilbert-az/udder-delights-1-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
92,"211 E Warner Rd, Gilbert 85296",10,Gilbert,Breakfast,33.3349363000,Gilbert,-111.7851402000,1,3.3,CDD614,Average,17033560,Over Easy,"Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/gilbert-az/over-easy-1-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
93,894 East Warner Road #101 85296,25,Gilbert,"Italian, Pizza, Sandwich",33.3368032881,Gilbert,-111.7707366540,2,3.3,CDD614,Average,17034021,Brooklyn V's Pizza- Gilbert,"11 AM to 9 PM (Mon-Thu), 11 AM to 10 PM (Fri-Sat), 11 AM to 8 PM (Sun)",https://www.zomato.com/gilbert-az/brooklyn-vs-pizza-gilbert-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
94,"1534 E Ray Road, Suite 110, Gilbert 85296",40,Gilbert,"American, BBQ",0.0000000000,Gilbert,0.0000000000,3,0,CBCBCB,Not rated,18397737,Arizona BBQ Company,"11 AM to 8 PM (Mon-Thu), 11 AM to 9 PM (Fri-Sat), Sun Closed",https://www.zomato.com/gilbert-az/arizona-bbq-company-4-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
95,"1435 East Warner Road, Gilbert, Phoenix 85296",10,Gilbert,Sandwich,33.3354630000,Gilbert,-111.7604360000,1,3.3,CDD614,Average,17028643,Port of Subs,,https://www.zomato.com/gilbert-az/port-of-subs-2-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
96,1435 East Warner Road 85296,10,Gilbert,Frozen Yogurt,33.3355500000,Gilbert,-111.7629900000,1,3.3,CDD614,Average,17032430,Orange Leaf,,https://www.zomato.com/gilbert-az/orange-leaf-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
97,"1505 E. Warner Rd, Gilbert 85296",10,Gilbert,Coffee and Tea,33.3354490000,Gilbert,-111.7596150000,1,3.2,CDD614,Average,17031082,Starbucks,,https://www.zomato.com/gilbert-az/starbucks-2-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
98,"1245 E Warner Rd, Gilbert 85296",10,Gilbert,American,33.3354630000,Gilbert,-111.7637250000,1,3.3,CDD614,Average,17028016,Mulligan's Grill,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed), Breakfast, Lunch, Dinner, Late (Thu-Sat)",https://www.zomato.com/gilbert-az/mulligans-grill-1-gilbert?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85296,11193
99,"1855 W Highway 89A, Sedona 86336",25,Flagstaff,"Italian, Pizza",34.8633900000,Sedona,-111.7923800000,2,3.9,9ACD32,Good,17357451,Picazzo's Organic Italian Kitchen,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",https://www.zomato.com/flagstaff-az/picazzos-organic-italian-kitchen-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
100,"1595 West Highway 89A, Sedona 86336",25,Flagstaff,"American, Vegetarian",34.8631858000,Sedona,-111.7878006000,2,3.8,9ACD32,Good,17357564,ChocolaTree Organic Oasis,"9 AM to 9 PM (Mon, Tue, Thu, Fri, Sat, Sun), 11 AM to 9 PM (Wed)",https://www.zomato.com/flagstaff-az/chocolatree-organic-oasis-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
101,"1350 W Highway 89a Ste 22, Sedona 86336",10,Flagstaff,"Pizza, Sandwich",34.8633540000,Sedona,-111.7840070000,1,3.5,9ACD32,Good,17357442,New York Bagels & Deli,"5 AM to 3 PM (Mon, Sun), 5 AM to 8 PM (Tue-Sat)",https://www.zomato.com/flagstaff-az/new-york-bagels-deli-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
102,1610 West Hwy 89A 86336,70,Flagstaff,Vegetarian,34.8599400000,Sedona,-111.7869300000,4,3.5,9ACD32,Good,17357416,Heartline Cafe,"5 PM to 9 PM (Mon, Thu-Sun), Tue & Wed Closed",https://www.zomato.com/flagstaff-az/heartline-cafe-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
103,"1910 Arizona 89a Ste 102, Sedona 86336",25,Flagstaff,"Indian, Vegetarian",34.8639292000,Sedona,-111.7935743000,2,3.3,CDD614,Average,17357420,India Palace: Authentic Cuisine of India,"11:30 AM to 2:30 PM, 5 PM to 9:30 PM (Mon-Sun)",https://www.zomato.com/flagstaff-az/india-palace-authentic-cuisine-of-india-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
104,"1630 W Hwy 89a, Sedona 86336",10,Flagstaff,"Breakfast, Mexican",34.8636390000,Sedona,-111.7888910000,1,3.4,CDD614,Average,17357655,Tortas de Fuego,8 AM to 10 PM (Mon-Sun),https://www.zomato.com/flagstaff-az/tortas-de-fuego-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
105,"1405 W Highway 89a, Sedona 86336",40,Flagstaff,"American, Southwestern",34.8622100000,Sedona,-111.7848950000,3,3.3,CDD614,Average,17357446,Olde Sedona Bar & Grill,11 AM to 10 PM (Mon-Sun),https://www.zomato.com/flagstaff-az/olde-sedona-bar-grill-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
106,"700 West State Route 89A, Sedona, Flagstaff 86336",0,Flagstaff,Latin American,34.8664080000,Sedona,-111.7747690000,1,3.2,CDD614,Average,17862906,Mariposa,,https://www.zomato.com/flagstaff-az/mariposa-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
107,"40 Soldiers Pass Rd, Sedona 86336",40,Flagstaff,"American, Sandwich",34.8634710000,Sedona,-111.7828810000,3,3.3,CDD614,Average,17357425,Judi's Restaurant & Lounge,"11 AM to 2 AM (Mon-Fri),11 AM to 3 AM (Sat-Sun)",https://www.zomato.com/flagstaff-az/judis-restaurant-lounge-sedona?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86336,469
